Question,Opt1,Opt2,Opt3,Opt4,Answer
What is the largest planet in our solar system?,Earth,Mars,Jupiter,Saturn,Jupiter
What is the capital of France?,Berlin,Madrid,Paris,Rome,Paris
Which element has the chemical symbol 'O'?,Gold,Oxygen,Osmium,Oganesson,Oxygen
In what year did the Titanic sink?,1905,1912,1920,1923,1912
What is the tallest mountain in the world?,K2,Mount Kilimanjaro,Mount Everest,Mount Fuji,Mount Everest
Who painted the Mona Lisa?,Vincent van Gogh,Pablo Picasso,Leonardo da Vinci,Claude Monet,Leonardo da Vinci
Which planet is known as the Red Planet?,Venus,Jupiter,Saturn,Mars,Mars
What is the largest ocean on Earth?,Atlantic,Indian,Arctic,Pacific,Pacific
How many continents are there?,5,6,7,8,7
What is the hardest natural substance on Earth?,Gold,Iron,Diamond,Platinum,Diamond
Which country is known as the Land of the Rising Sun?,China,South Korea,Japan,Thailand,Japan
What is the currency of the United Kingdom?,Euro,Pound Sterling,Dollar,Yen,Pound Sterling
How many bones are in the adult human body?,206,210,215,201,206
What is the smallest country in the world?,Monaco,Vatican City,San Marino,Liechtenstein,Vatican City
What gas do plants absorb from the atmosphere?,Oxygen,Nitrogen,Carbon Dioxide,Hydrogen,Carbon Dioxide
Which tech company created the iPhone?,Microsoft,Google,Apple,Samsung,Apple
What is the fastest land animal?,Cheetah,Lion,Horse,Leopard,Cheetah
What is the capital of Australia?,Sydney,Melbourne,Canberra,Perth,Canberra
Who developed the theory of relativity?,Isaac Newton,Albert Einstein,Nikola Tesla,Galileo Galilei,Albert Einstein
What is the main ingredient in guacamole?,Tomato,Avocado,Onion,Pepper,Avocado
